2026-04-24 08:52:48,450 | DEBUG | pymongo.command | {"message": "Command started", "clientId": {"$oid": "69eae3ea2ba90fcf612db76f"}, "command": "{\"insert\": \"alters\", \"lsid\": {\"id\": {\"$binary\": {\"base64\": \"p1iLyVysRuGrIE+9YxE18w==\", \"subType\": \"04\"}}}, \"$db\": \"FaceitDB\", \"documents\": [{\"_id\": \"1-ad3bc746-9932-4e09-92d2-bf60bdd51e58\", \"player_ids\": [\"240c3c9c-6ff2-4279-93d0-c7505a9f929d\", \"5ad3b0fb-0bed-4db2-9ade-071d51cd0360\", \"2770d5ac-41cd-4139-a860-07374dcd423c\", \"9cd0c0b2-1d63-4da7-8225-174b378e86de\", \"ab2de395-ce85-4b6f-b4f4-8fa1a644b727\", \"d93b00c8-6b9d-4cc8-9c4b-cf39b1cfb813\", \"68c9135c-38aa-496e-8478-c2f1fe0cf064\", \"83c15ff2-ccf8-4c96-ab29-28f75ef006dd\", \"5b166b20-6869-404d-98d0-c6101e7efa0b\", \"1f3f1163-9eac-4d60-b7bc-7c3652e76297\"]}, {\"_id\": \"1-ec7e7410-33ff-4574-9fb2-9fc3cda401c9\", \"player_ids\": [\"eba620ee-0c30-45cd-8a05-3a32f5f96cc3\", \"95facbed-d9bd-4642-ab1d-cd6e58be17b9\", \"304380ec-3f13-45a6-9a24-68f01c034005\", \"75671ca4-e558-422a-ae44-66a1f51c58c0\", \"d93b00c8-6b9d-4cc8-9c4b-cf39b1cfb813\", \"cf76b625-e7bc-4f20-89fe-75578730c7a2\", \"988d5868-583d-4618-bd20-e5aeb7310947\", \"555b05a3-40bc-4d11-a40d-afd543899b4a\", \"cba59d9...", "commandName": "insert", "databaseName": "FaceitDB", "requestId": 2033126381, "operationId": 2033126381, "driverConnectionId": 1, "serverConnectionId": 138, "serverHost": "localhost", "serverPort": 27017}
2026-04-24 08:52:48,451 | DEBUG | pymongo.command | {"message": "Command succeeded", "clientId": {"$oid": "69eae3ea2ba90fcf612db76f"}, "durationMS": 1.211, "reply": "{\"n\": 15, \"ok\": 1.0}", "commandName": "insert", "databaseName": "FaceitDB", "requestId": 2033126381, "operationId": 2033126381, "driverConnectionId": 1, "serverConnectionId": 138, "serverHost": "localhost", "serverPort": 27017}
2026-04-24 08:52:48,451 | DEBUG | pymongo.connection | {"message": "Connection checked in", "clientId": {"$oid": "69eae3ea2ba90fcf612db76f"}, "serverHost": "localhost", "serverPort": 27017, "driverConnectionId": 1}
2026-04-24 08:52:48,451 | INFO | pipeline.orch | Data moved sucessfully. 
 Database :Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'FaceitDB') 
 Collection:alters
2026-04-24 08:52:48,452 | DEBUG | pymongo.serverSelection | {"message": "Server selection started", "selector": "<function writable_server_selector at 0x784328b87ce0>", "operation": "update", "topologyDescription": "<TopologyDescription id: 69eae3ea2ba90fcf612db76f, topology_type: Single, servers: [<ServerDescription ('localhost', 27017) server_type: Standalone, rtt: 0.0002533350986996785>]>", "clientId": {"$oid": "69eae3ea2ba90fcf612db76f"}}
2026-04-24 08:52:48,452 | DEBUG | pymongo.serverSelection | {"message": "Server selection succeeded", "selector": "<function writable_server_selector at 0x784328b87ce0>", "operation": "update", "topologyDescription": "<TopologyDescription id: 69eae3ea2ba90fcf612db76f, topology_type: Single, servers: [<ServerDescription ('localhost', 27017) server_type: Standalone, rtt: 0.0002533350986996785>]>", "clientId": {"$oid": "69eae3ea2ba90fcf612db76f"}, "serverHost": "localhost", "serverPort": 27017}
2026-04-24 08:52:48,452 | DEBUG | pymongo.connection | {"message": "Connection checkout started", "clientId": {"$oid": "69eae3ea2ba90fcf612db76f"}, "serverHost": "localhost", "serverPort": 27017}
2026-04-24 08:52:48,452 | DEBUG | pymongo.connection | {"message": "Connection checked out", "clientId": {"$oid": "69eae3ea2ba90fcf612db76f"}, "serverHost": "localhost", "serverPort": 27017, "driverConnectionId": 1, "durationMS": 0.00012564600001496729}
2026-04-24 08:52:48,452 | DEBUG | pymongo.command | {"message": "Command started", "clientId": {"$oid": "69eae3ea2ba90fcf612db76f"}, "command": "{\"update\": \"lifetime\", \"ordered\": true, \"lsid\": {\"id\": {\"$binary\": {\"base64\": \"p1iLyVysRuGrIE+9YxE18w==\", \"subType\": \"04\"}}}, \"$db\": \"FaceitDB\", \"updates\": [{\"q\": {\"_id\": \"d93b00c8-6b9d-4cc8-9c4b-cf39b1cfb813\"}, \"u\": {\"$set\": {\"game_id\": \"cs2\", \"lifetime\": {\"Total Headshots %\": \"168287\", \"Utility Success Rate\": \"0.28\", \"Total Utility Damage\": \"159743\", \"Flashes per Round\": \"0.38\", \"Utility Damage Success Rate\": \"9.62\", \"Total Utility Successes\": \"4685\", \"Total Kills with extended stats\": \"35793\", \"Total Sniper Kills\": \"3025\", \"Recent Results\": [\"1\", \"1\", \"0\", \"0\", \"0\"], \"Entry Success Rate\": \"0.49\", \"Total Flash Count\": \"19534\", \"Total Enemies Flashed\": \"12726\", \"Win Rate %\": \"49\", \"Total Entry Count\": \"10126\", \"Total 1v1 Wins\": \"491\", \"Total Matches\": \"2282\", \"Wins\": \"1606\", \"Total Entry Wins\": \"4972\", \"Total 1v1 Count\": \"1340\", \"Total Flash Successes\": \"8685\", \"Enemies Flashed per Round\": \"0.25\", \"Current Win Streak\": \"0\", \"ADR\": \"77.41\", \"Total Rounds with extended stats\": \"50766\", ...", "commandName": "update", "databaseName": "FaceitDB", "requestId": 191021091, "operationId": 191021091, "driverConnectionId": 1, "serverConnectionId": 138, "serverHost": "localhost", "serverPort": 27017}
